# ManaTuner CSV export
# Deck:,Public Atraxa zone validation
# Format: Commander
# Generated: 2026-09-14T05:01:38.875Z
# Stability: Unavailable
# Engine: 2.7.9
# health: Health Score averages turn-two access to each required color or hybrid alternative group. It does not measure simultaneous payment or spell castability.
# blueprint: "Blueprint Stability combines Health (40%), land-ratio balance around 40% lands (20%), turn-two color access (25%) and turn-four color access (15%)."
# mulligan: Mulligan scores simulated opening hands using archetype weights. They differ from deck-level Health and Blueprint Stability.
# limitation: "These are heuristic indices, not win probabilities or guaranteed keep decisions."
# Model: saved lands-only potential; PLAY; no mulligans or ramp; X=2; target turn=max(1 mana value); target spell draw excluded
# Share links carry deck/name/tab only; interactive model settings are not transported

section,card_name,quantity,cmc,mana_cost,colors,is_land,produces,is_sideboard,is_commander
deck,"Atraxa, Praetors' Voice",1,4,{G}{W}{U}{B},G|W|U|B,false,,false,true
deck,Sol Ring,1,1,{1},,false,,false,false
deck,Arcane Signet,1,2,{2},,false,,false,false
deck,Talisman of Progress,1,2,{2},,false,,false,false
deck,Talisman of Hierarchy,1,2,{2},,false,,false,false
deck,Talisman of Dominance,1,2,{2},,false,,false,false
deck,Chromatic Lantern,1,3,{3},,false,,false,false
deck,Cultivate,1,3,{2}{G},G,false,,false,false
deck,Kodama's Reach,1,3,{2}{G},G,false,,false,false
deck,Farseek,1,2,{1}{G},G,false,,false,false
deck,Nature's Lore,1,2,{1}{G},G,false,,false,false
deck,Three Visits,1,2,{1}{G},G,false,,false,false
deck,Rhystic Study,1,3,{2}{U},U,false,,false,false
deck,Mystic Remora,1,1,{U},U,false,,false,false
deck,Esper Sentinel,1,1,{W},W,false,,false,false
deck,Guardian Project,1,4,{3}{G},G,false,,false,false
deck,Beast Whisperer,1,4,{2}{G}{G},G|G,false,,false,false
deck,Tezzeret's Gambit,1,4,{3}{U/P},U,false,,false,false
deck,Painful Truths,1,3,{2}{B},B,false,,false,false
deck,Swords to Plowshares,1,1,{W},W,false,,false,false
deck,Path to Exile,1,1,{W},W,false,,false,false
deck,Anguished Unmaking,1,3,{1}{W}{B},W|B,false,,false,false
deck,Assassin's Trophy,1,2,{B}{G},B|G,false,,false,false
deck,Beast Within,1,3,{2}{G},G,false,,false,false
deck,Counterspell,1,2,{U}{U},U|U,false,,false,false
